bedroom_number,street_address_raw,price,sect_keyfeatures,sect,requestdetails_p_a,id,url,price_raw,postcode,town_raw
2 bedroom terraced house to rent,"Henwood Road, Withington, Manchester, M20 ",£850 pcm,"*** AVAILABLE EARLY MARCH *** A stylishly presented two double bedroom mid terrace house situated on a popular road in Withington, close to local transport links and the Christie Hospital. The accommodation available is ideal for a professional couple and briefly comprises; lounge, spacious open ...",,Call: 0161 468 0419,675,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=60,e to rent,M20 4XQ,Manchester
1 bedroom flat to rent,"   Ladybarn Lane, Fallowfield, Manchester, M14",£505 pcm,PROPERTY FULLY ALARMED. NO AGENCY FEES!! 1 Bedroom student property Great self-contained flat in popular student area of Fallowfield. Good sized double bedroom and nice living area. Within easy walking distance of Wilmslow Road where there are lots of shops including a large Sainsbury&rsquo...,,Call: 03338 000210,680,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=50,t to rent,M14 6WN,Manchester
2 bedroom terraced house to rent,"Brook Avenue, Manchester, Greater Manchester, M19",£550 pcm,"A two bedroom terrace situated with good access to local amenities, schools and transport links. Accommodation comprises: kitchen/dining room, sitting room, two bedrooms and bathroom. Viewing on Saturdays only Available from the 12th March",,Call: 0161 225 1234,682,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=170,e to rent,M19 3DQ,Manchester
3 bedroom terraced house to rent,"Upper West Grove,Manchester,M13","£1,000 pcm",1clickmove is delighted to offer this very spacious 4 bedroom property located on Upper West Grove located minutes away from the university of Manchester and Manchester royal infirmaryAVAILABLE FROM JULY 2016,,Call: 0161 468 0796,686,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=70,e to rent,M13 0BB,Manchester
4 bedroom semi-detached house to rent,"Mornington Crescent,Fallowfield,Manchester,M14","£1,700 pcm",1ClickMove presents immaculate recently modernized Four bed Semi Detached property. Ideal for a Group of Individuals to share a lovely House situated near to Manchester University Fallowfield campus.Direct bus routes to city center.,,Call: 0161 468 0796,690,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=70,e to rent,M14 6DD,Manchester
2 bedroom property to rent,"George Street, Denton, Manchester, M34",£450 pcm,Perfect house for a first home for a small family or couple. This nicely decorated 2 bed terraced property is in a cul-de-sac location in the heart of Denton. In walking distance to the Peel Centre along with the town centre. Give Reeds Rains Lettings Team a call now on 0161 335 9999 to get y...,,Call: 0161 468 0492,697,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=70,y to rent,M25 9WS,Manchester
1 bedroom house share to rent,"Keppel Road, Chorlton-cum-Hardy, Manchester, Greater Manchester, M21",£410 pcm,"Fantastic location period property in the heart of leafy Chorlton-Cum-Hardy, minutes walk from the lively, convenient centre of Chorlton and providing access to Morrisons supermarket, bars and restaurants. Minutes to the tram stop and bus routes into Central Manchester. Rent includes council tax.",,Call: 03332 401210,698,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=80,e to rent,M21 0AT,Manchester
2 bedroom apartment to rent,"Hadfield Close,Rusholme,Manchester,M14",£825 pcm,"We are pleased to present this beauitful looking second floor two bedroom apartment in the Victoria Park Area. It consists of two double bedrooms, fully fitted kitchen, bathroom with shower, large lounge,",,Call: 0161 468 0796,710,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=90,t to rent,M14 5LY,Manchester
2 bedroom apartment to rent,"70 Dale Street,Manchester,M1","£1,200 pcm","Fantastic two bedroom apartment (1200 square feet), massive living room, kitchen, fully furnished to a very high spec, close to the city centre and all amenities, easy transport links and a few minutes to Piccadilly train station. This apartment must be seen to be fully appreciated!",,Call: 0161 468 0796,711,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=90,t to rent,M1 2HG,Manchester
4 bedroom house to rent,"Aspull Walk,Manchester,M13","£1,500 pcm","1 Click Move are pleased to offer this fully furnished 4 Double bed property to rent in a very pleasant area and close to the Hospitals and the University, together with easy access to the City Centre. The property is available for viewings by appointment with letting from the end of the summer.",,Call: 0161 468 0796,712,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=90,e to rent,M13 9ER,Manchester
