provenance,postcode,price,street_name,bedroom_number,crimerank
belvoir_174,M13 0RH,175000,Bury Street,2,1470
belvoir_175,M13 0RH,249950,Navigation Street,3,1470
belvoir_176,M13 0RH,500,Ivy Graham Close,1,1470
belvoir_177,M13 0RH,170000,Water Street,2,1470
belvoir_178,M13 0RH,239950,Watson Street,2,1470
belvoir_179,M13 0RH,POA,Blossom Street,2,1470
belvoir_180,M13 0RH,725,Longfield Centre,2,1470
belvoir_181,M13 0RH,675,Durnford Street,3,1470
belvoir_182,M13 0RH,950,Blossom Street,1,1470
belvoir_183,M13 0RH,675,Lymouth Court,3,1470
belvoir_184,M13 0RH,belvoir_null_9,Cleminson Street,2,1470
belvoir_185,M13 0RH,belvoir_null_10,Kings Close,4,1470
belvoir_186,M13 0RH,1695,Beetham Tower,2,1470
belvoir_187,M13 0RH,belvoir_null_11,Knowles Street,2,1470
belvoir_188,M13 0RH,550,Mayfair Avenue,3,1470
belvoir_189,M13 0RH,1500,Duke Street,2,1470
belvoir_190,M13 0RH,1275,Clowes Street,2,1470
belvoir_191,M13 0RH,850,Spinningfields,1,1470
belvoir_192,M13 0RH,750,Mirabel Street,1,1470
belvoir_193,M13 0RH,695,Water Street,1,1470
belvoir_194,M13 0RH,795,Water Street,2,1470
belvoir_195,M13 0RH,495,Joshua Lane,2,1470
belvoir_196,M13 0RH,1400,Prestwich Park Road South,4,1470
belvoir_197,M13 0RH,belvoir_null_12,Orange Hill Road,4,1470
belvoir_198,M13 0RH,860,Flint Glass Wharf,2,1470
belvoir_199,M13 0RH,500,Oakhurst Gardens,2,1470
belvoir_200,M13 0RH,550,Ruskin Road,3,1470
belvoir_201,M13 0RH,895,Sheepfoot Lane,3,1470
belvoir_202,M13 0RH,725,George Street,3,1470
belvoir_203,M13 0RH,500,Lowther Road,1,1470
belvoir_204,M13 0RH,belvoir_null_13,Old Market Street,1,1470
belvoir_205,M13 0RH,600,Princess Road,2,1470
belvoir_206,M13 0RH,675,Milton Road,3,1470
belvoir_207,M13 0RH,860,Spinningfields,1,1470
belvoir_208,M13 0RH,1350,Beetham Tower,1,1470
belvoir_209,M13 0RH,675,Ranlesham Street,3,1470
agent_3,M21 8DY,549950,South Drive,3,4966
agent_4,M1 5BY,950000,Cambridge Street,2,2461
agent_14,M1 5BY,895,Cambridge Street,1,2461
rightmove_0,M14 6HZ,395,Wilmslow Road,1,9947
rightmove_1,M8 8US,3000000,Holborn Avenue,,1589
rightmove_3,M20 2RQ,,Stenner Lane,8,16648
rightmove_5,M3 4LP,,Watson Street,3,4783
rightmove_7,M21 7QU,,Haddon Road,6,5107
rightmove_8,M20 6XD,1400000,Elm Road,6,9389
rightmove_11,M3 4EP,,Watson Street,3,4783
rightmove_14,M22 4FR,1250000,Palatine Road,7,6686
rightmove_23,M21 0UH,1050000,Cavendish Terrace/ Corkland Road/Wilbraham Road,,6927
rightmove_27,M12 5NL,1000000,Bennett Street,,12001
rightmove_28,M20 2GN,995000,Barlow Moor Road,4,9389
rightmove_29,M14 6UD,995000,Clifton Avenue,19,1798
rightmove_30,M13 0FN,575,Hathersage Road,1,3973
rightmove_38,M20 2NU,927000,Old Lansdowne Road,5,3347
rightmove_39,M21 9JH,930000,Edge Lane,,18940
rightmove_40,M13 0YL,950000,Dickenson Road,,1470
rightmove_41,M21 9JF,900000,Edge Lane,,14724
rightmove_42,M1 6DE,925000,Princess Street,17,708
rightmove_45,M1 5QA,,Oxford Road,,209
rightmove_46,M18 7LP,675,Brighton Range,3,2497
rightmove_49,M2 4WU,,King Street,,9783
rightmove_50,M40 8BG,575,Tadcaster Drive,3,882
rightmove_52,M2 4LQ,,King Street,,9783
rightmove_53,M4 4TG,850,Ludgate Hill,2,12320
rightmove_54,M1 1EA,,Lever Street,,708
rightmove_56,M15 6AP,775,Higher Cambridge Street,2,8522
rightmove_57,M4 4DS,925,Dyche Street,2,12320
rightmove_59,M20 6FJ,595,Fog Lane,1,7628
rightmove_63,M22 8UA,495,Longhey Road,2,4209
rightmove_64,M4 4BW,900,Ludgate Hill,2,12320
rightmove_66,M13 0JR,575,Hathersage Road,1,2823
rightmove_67,M20 4XQ,850,Henwood Road,2,3997
rightmove_68,M14 6WN,505,Ladybarn Road,1,952
rightmove_69,M19 3DQ,550,Brook Avenue,2,7936
rightmove_70,M13 0BB,1000,Upper West Grove,3,3973
rightmove_71,M14 6DD,1700,Mornington Crescent,4,3752
rightmove_73,M21 0AT,410,Keppel Road,1,10595
rightmove_74,M14 5LY,825,Hadfield Close,2,908
rightmove_75,M1 2HG,1200,Dale Street,2,2892
rightmove_76,M13 9ER,1500,Aspull Walk,4,12632
rightmove_77,M1 3NF,1650,M1 3NF,1,708
rightmove_80,M14 5AP,1400,Wilmslow Road,4,1455
rightmove_82,M16 0BH,550,Upper Chorlton Road,4,11209
rightmove_83,M16 7RQ,575,Upper Chorlton Road,1,4203
rightmove_84,M20 4ZD,450,Central Road,1,11303
rightmove_85,M16 0BQ,900,Cromwell Avenue,3,11209
rightmove_86,M22 1UG,700,Cotefield Road,2,10211
rightmove_87,M14 5QL,440,Daisy Bank Road,,5904
rightmove_91,M14 7JJ,850,Broadfield Road,4,1969
rightmove_92,M1 6LT,800,Whitworth Street,1,2461
rightmove_93,M3 2BW,995,Deansgate,2,9783
rightmove_94,M14 4HL,780,Parkfield Avenue,3,634
rightmove_95,M14 4FZ,780,Parkfield Avenue,3,5085
rightmove_96,M13 0YG,750,Greville Street,3,1465
rightmove_97,M20 4ZE,395,Goulden Road,,11303
rightmove_98,M16 7RQ,3200000,Upper Chorlton Road,,4203
rightmove_99,M20 2UD,1250000,Palatine Road,7,7499
rightmove_100,M22 4ET,725,Palatine Road,2,6686
rightmove_103,M1 7AG,,Princess Street,,708
rightmove_105,M1 4LF,895,Dickinson Street,2,708
rightmove_106,M20 6TD,650,Atwood Road,,8015
rightmove_107,M20 6RX,900,Ventnor Road,2,13551
rightmove_108,M1 6NG,995,Princess Street,2,209
rightmove_109,M20 2UA,895000,Holme Road,4,7499
rightmove_110,M2 4NH,2200,King Street,2,9783
rightmove_112,M2 2JG,,Brown Street,,9783
rightmove_113,M13 0FE,575,Hathersage Road,1,3973
rightmove_114,M13 0HY,575,Hathersage Road,1,2823
rightmove_115,M1 3LZ,800,Sackville Street,1,708
rightmove_116,M1 3NJ,935,"Sackville Place, Bombay Street",2,209
rightmove_118,M1 3GW,775,Whitworth Street,1,2892
zoopla_0,M4 4BR,229950,Angel Street,2,753
zoopla_1,M60 0AG,200000,Angel Street,1,753
zoopla_2,M4 5BA,139995,Redhill Street,1,7263
zoopla_3,M4 5BB,149995,Redhill Street,1,1245
zoopla_4,M4 5BF,129995,Redhill Street,1,1245
zoopla_6,M4 5BS,180000,Pickford Street,2,1245
zoopla_7,M15 4NP,202500,Great Jackson Street,2,796
zoopla_8,M15 5JP,125000,Hulme High Street,2,3277
zoopla_10,M4 7JA,180000,Pollard Street,2,3998
zoopla_11,M1 3GY,140000,Cobourg Street,1,2892
zoopla_12,M1 6DE,230000,Asia House,2,708
zoopla_13,M15 4TL,190000,City Road,2,3182
zoopla_14,M1 5WW,229950,Whitworth Street West,2,2461
zoopla_15,M15 4HZ,250000,Angel Street,1,1259
zoopla_17,M4 5BE,150000,Redhill Street,2,1245
zoopla_18,M4 4BA,240000,Angel Street,2,753
zoopla_19,M4 4BB,169950,Angel Street,1,753
cotswoldlettings_0,OX7 4NN,1275,Jubilee Cottages,2,29621
cotswoldlettings_1,OX7 5HB,825,Alfred Terrace,3,24997
cotswoldlettings_2,OX7 6BP,1895,Church Street,4,31210
