provenance,postcode,price,street_name,bedroom_number,crimerank
belvoir_151,M9 8QE,5,Cambridge Street,4,4731
belvoir_152,M9 6HJ,550,Cambridge Street,3,9643
belvoir_159,M8 0AR,600,Great Bridgewater Street,2,7261
jpknight_147,OX10 9AW,200000,St. Johns Road,77,27599
belvoir_161,M8 5QE,7,Chester Street,4,4828
belvoir_162,M35 9WP,895,Cambridge Street,3,
belvoir_163,M9 8DR,8,"Old School Court,						2 Old School Drive,",1,3074
belvoir_164,M8 4LQ,550,"Mosslee Avenue,						Crumpsall,",3,
belvoir_166,M8 4HG,500,Chepstow Street,2,332
belvoir_168,M7 4WU,450,Great Bridgewater Street,1,
belvoir_169,M9 6HJ,550,Albion Street,3,9643
belvoir_170,M13 0RH,85000,"Trumpet Street, Deansgate",2,1470
belvoir_171,M13 0RH,492500,Trumpet Street,5,1470
belvoir_172,M13 0RH,895,Deansgate,3,1470
belvoir_174,M13 0RH,175000,Wakefield Street,2,1470
belvoir_175,M13 0RH,249950,"Navigation Street,",3,1470
belvoir_176,M13 0RH,500,Oxford Street,1,1470
belvoir_190,M13 0RH,1275,Whitworth Street West,2,1470
belvoir_178,M13 0RH,239950,Great Marlborough Street,2,1470
belvoir_179,M13 0RH,nan,Albion Street,2,1470
belvoir_180,M13 0RH,725,Oxford Road,2,1470
belvoir_181,M13 0RH,675,Gloucester Street,3,1470
belvoir_86,M13 0RH,1395,"Avro House,						Navigation Street,",3,1470
belvoir_183,M13 0RH,675,"Lymouth Court,",3,1470
belvoir_198,M13 0RH,860,"Flint Glass Wharf,						Ancoats,",2,1470
belvoir_184,M13 0RH,9,"Cleminson Street,",2,1470
oxlets_42,OX18 1TQ,725,Bracken Close,2,31541
belvoir_185,M13 0RH,10,Great Bridgewater Street,4,1470
belvoir_186,M13 0RH,1695,Chester Street,2,1470
belvoir_187,M13 0RH,11,Great Marlborough Street,2,1470
belvoir_189,M13 0RH,1500,Whitworth Street West,2,1470
belvoir_191,M13 0RH,850,"Leftbank,						Spinningfields,",1,1470
belvoir_192,M13 0RH,750,Princess Street,1,1470
belvoir_193,M13 0RH,695,Princess Street,1,1470
belvoir_194,M13 0RH,795,Princess Street,2,1470
belvoir_177,M13 0RH,170000,New Wakefield Street,2,1470
belvoir_196,M13 0RH,1400,Harter Street,4,1470
belvoir_197,M13 0RH,12,Portland Street,4,1470
belvoir_199,M13 0RH,500,Portland Street,2,1470
belvoir_188,M13 0RH,550,Whitworth Street West,3,1470
belvoir_200,M13 0RH,550,Portland Street,3,1470
belvoir_182,M13 0RH,950,Lower Ormond Street,1,1470
belvoir_201,M13 0RH,895,Oxford Street,3,1470
belvoir_202,M13 0RH,725,Oxford Street,3,1470
belvoir_203,M13 0RH,500,Oxford Street,1,1470
belvoir_204,M13 0RH,13,Oxford Street,1,1470
belvoir_205,M13 0RH,600,Oxford Road,2,1470
belvoir_147,M13 0RH,675,Whitworth Street West,3,1470
belvoir_206,M13 0RH,675,Whitworth Street,3,1470
belvoir_207,M13 0RH,860,"Leftbank,						Spinningfields,",1,1470
belvoir_208,M13 0RH,1350,Whitworth Street,1,1470
belvoir_209,M13 0RH,675,"Ranlesham Street,						Prestwich,",3,1470
agent_0,M5 4TD,137495,Princess Street,2,
agent_1,M3 5DW,189950,Princess Street,2,
oxlets_17,OX28 6DE,895,Woodford Mill,2,19066
agent_2,SK12 2JN,675000,"Homestead Road, Stockport, SK12 2JN",2,
agent_3,M21 8DY,549950,Princess Street,3,4966
agent_4,M1 5BY,950000,"B6, Manchester, M1 5BY",2,2461
agent_5,L8 5RS,109950,Princess Street,1,
agent_6,M3 6EN,174995,Whitworth Street,3,
agent_8,M50 1AU,695,Whitworth Street,2,
agent_11,M3 7DX,875,Princess Street,2,
agent_12,M30 0SW,575,Oxford Street,2,
agent_13,M3 7EL,995,Oxford Street,3,
rightmove_0,M14 6HZ,395,#NAME?,1,9947
rightmove_2,M30 0DR,3325,Granby Row,45,
rightmove_3,M20 2RQ,nan,Granby Row,8,16648
rightmove_4,M45 7NT,1800,Granby Row,5,
rightmove_67,M20 4XQ,850,Ashton Old Road,2,3997
rightmove_7,M21 7QU,nan,Granby Row,6,5107
rightmove_9,M27 0YF,1300,Charles Street,nan,
agent_10,M50 1AW,595,Princess Street,1,
rightmove_10,M25 7LH,1295,Charles Street,5,
rightmove_12,M25 7LN,1295,Oxford Road,5,
trinity_12,DY2 9BU,575,Baptist End Road,1,
rightmove_13,M45 7LX,1295,Oxford Road,5,
rightmove_14,M22 4FR,1250,Oxford Road,7,6686
rightmove_15,M5 4BE,nan,Oxford Road,nan,
rightmove_16,M45 7LE,1195,Oxford Road,5,
rightmove_17,M30 9ED,1200,Oxford Road,5,
rightmove_18,M30 9HN,1200,Princess Street,7,
rightmove_19,M28 2WR,1200,Mancroft Walk,4,
rightmove_21,M28 2NT,995000,Grosvenor Street,5,
rightmove_22,M43 7WA,1000,Grosvenor Street,6,
rightmove_23,M21 0UH,1050,Downing Street,nan,6927
rightmove_24,M43 7WC,1000,Lockton Close,6,
rightmove_25,M43 7WD,1000,Grosvenor Street,6,
rightmove_26,M43 7WE,1000,Penfield Close,6,
rightmove_27,M12 5NL,1000,Litcham Close,nan,12001
