provenance,postcode,price,street_name,bedroom_number,crimerank
jpknight_38,M1 1JF,500000,Hilton Street,3,1245
oxlets_38,M1 1JF,875.00,Hilton Street,3,1245
onthemarket_39,M1 1JG,20000,The Hub,2,34
belvoir_39,M1 1JG,725,"Chaseley Field Mansions,						21 Chasley Road,",3,34
rightmove_39,M1 1JG,950000,Oldham Street,nan,34
jpknight_39,M1 1JG,459950,Oldham Street,20,34
onthemarket_40,M1 1JJ,2850,Parking Spaces,2,1245
belvoir_40,M1 1JJ,825,Hilton Street,2,1245
rightmove_40,M1 1JJ,900000,Hilton Street,nan,1245
onthemarket_41,M1 1JL,2200,Hilton Street,2,1245
belvoir_41,M1 1JL,860,Hilton Street,2,1245
rightmove_41,M1 1JL,925000,Hilton Street,17,1245
onthemarket_42,M1 1JN,1795,Oldham Street,2,1245
belvoir_42,M1 1JN,550,Oldham Street,4,1245
rightmove_42,M1 1JN,920000,Oldham Street,4,1245
onthemarket_43,M1 1JQ,1225,Leftbank,1,708
belvoir_43,M1 1JQ,1550,Oldham Street,2,708
jpknight_43,M1 1JQ,415000,Oldham Street,24,708
oxlets_43,M1 1JQ,1250.00,Oldham Street,3,708
onthemarket_44,M8 0LA,240000,Jewel House,3,1589
onthemarket_45,M1 1JU,134950,Quantum,1,708
rightmove_45,M1 1JU,675,Spear Street,3,708
onthemarket_46,M1 1LN,1595,Tempus Tower,2,708
belvoir_46,M1 1LN,650,Lever Street,3,708
rightmove_46,M1 1LN,700,Lever Street,1,708
oxlets_46,M1 1LN,1400.00,Lever Street,4,708
onthemarket_47,M1 1LQ,1400,Great Northern Tower,2,708
belvoir_47,M1 1LQ,950,Piccadilly,2,708
rightmove_47,M1 1LQ,650,Piccadilly,1,708
jpknight_47,M1 1LQ,500000,Piccadilly,28,708
onthemarket_48,M1 1LW,1300,Great Northern Tower,3,708
rightmove_48,M1 1LW,nan,Lever Street,nan,708
jpknight_48,M1 1LW,475000,Lever Street,29,708
onthemarket_49,M1 2AN,nan,Tempus Tower,nan,708
rightmove_49,M1 2AN,575,Newton Street,3,708
jpknight_49,M1 2AN,430000,Newton Street,4,708
oxlets_49,M1 2AN,1050.00,Newton Street,4,708
belvoir_7,M13 0RH,380825,Stevenson Square,3,1470
belvoir_8,M13 0RH,425000,Lever Street,3,1470
belvoir_19,M13 0RH,395000,Newton Street,2,1470
belvoir_55,M13 0RH,575,Hilton Street,2,1470
belvoir_61,M13 0RH,895,"34 Navigation Street,",2,1470
belvoir_62,M13 0RH,775,"34 Navigation Street,",2,1470
belvoir_69,M13 0RH,650,Tariff Street,2,1470
belvoir_86,M13 0RH,950,"Avro House,						Navigation Street,",2,1470
belvoir_94,M13 0RH,775,"Piccadilly, Dale Street",2,1470
belvoir_121,M13 0RH,500,Minshull Street,2,1470
belvoir_127,M13 0RH,575,Fairfield Street,1,1470
belvoir_147,M13 0RH,500,Brazil Street,2,1470
belvoir_170,M13 0RH,492500,Charlotte Street,5,1470
belvoir_171,M13 0RH,895,Portland Street,3,1470
belvoir_172,M13 0RH,nan,George Street,3,1470
belvoir_173,M13 0RH,175000,York Street,2,1470
belvoir_174,M13 0RH,249950,George Street,3,1470
belvoir_175,M13 0RH,500,"Navigation Street,",1,1470
belvoir_176,M13 0RH,170000,Princess Street,2,1470
belvoir_177,M13 0RH,239950,Nicholas Street,2,1470
belvoir_178,M13 0RH,nan,Charlotte Street,2,1470
belvoir_179,M13 0RH,725,Princess Street,2,1470
belvoir_181,M13 0RH,950,Princess Street,1,1470
belvoir_183,M13 0RH,9,"Lymouth Court,",2,1470
belvoir_184,M13 0RH,10,"Cleminson Street,",4,1470
belvoir_185,M13 0RH,1695,Oxford Street,2,1470
belvoir_186,M13 0RH,11,Portland Street,2,1470
belvoir_187,M13 0RH,550,Portland Street,3,1470
belvoir_188,M13 0RH,1500,Portland Street,2,1470
belvoir_189,M13 0RH,1275,Portland Street,2,1470
belvoir_190,M13 0RH,850,Portland Street,1,1470
belvoir_191,M13 0RH,750,"Leftbank,						Spinningfields,",1,1470
belvoir_192,M13 0RH,695,Oxford Street,1,1470
belvoir_193,M13 0RH,795,Great Marlborough Street,2,1470
belvoir_194,M13 0RH,495,Oxford Street,2,1470
belvoir_195,M13 0RH,1400,Whitworth Street West,4,1470
belvoir_196,M13 0RH,12,Whitworth Street,4,1470
belvoir_197,M13 0RH,860,Whitworth Street West,2,1470
belvoir_198,M13 0RH,500,"Flint Glass Wharf,						Ancoats,",2,1470
belvoir_199,M13 0RH,550,River Street,3,1470
belvoir_200,M13 0RH,895,Hulme Street,3,1470
belvoir_201,M13 0RH,725,Cambridge Street,3,1470
belvoir_202,M13 0RH,500,Cambridge Street,1,1470
belvoir_203,M13 0RH,13,Whitworth Street West,1,1470
belvoir_204,M13 0RH,600,Whitworth Street West,2,1470
belvoir_205,M13 0RH,675,Whitworth Street West,3,1470
belvoir_206,M13 0RH,860,Whitworth Street West,1,1470
belvoir_207,M13 0RH,1350,"Leftbank,						Spinningfields,",1,1470
belvoir_208,M13 0RH,675,Oxford Street,3,1470
belvoir_209,M13 0RH,nan,"Ranlesham Street,						Prestwich,",nan,1470
belvoir_13,M15 6AZ,200000,Newton Street,2,1755
belvoir_96,M15 6AZ,1100,Piccadilly,2,1755
belvoir_15,M9 7HQ,259995,"Freshfields,
						Spindletree Ave,",2,11291
belvoir_56,M9 7HQ,1300,"Spindletree Avenue,",4,11291
belvoir_18,M21 7WH,169950,"Maitland Avenue,
						Chorlton,",2,5107
belvoir_22,M4 4BJ,48500,Newton Street,1,753
belvoir_25,M16 8HA,115000,Dale Street,1,14965
belvoir_27,M1 5TF,265000,"The Foundry,
						Lower Chatham Street,",2,2461
belvoir_34,M14 5BB,110000,Newton Street,2,5904
belvoir_60,M14 5BB,750,Ducie Street,1,5904
belvoir_70,M14 5BB,775,Port Street,2,5904
belvoir_99,M14 5BB,1400,Ducie Street,4,5904
belvoir_113,M14 5BB,675,Aytoun Street,3,5904
belvoir_44,M1 1JR,550,Oldham Street,2,34
rightmove_44,M1 1JR,nan,Oldham Street,nan,34
belvoir_45,M9 8AS,950,"Hilbury Avenue,",2,2156
belvoir_48,M4 6AH,395,Lever Street,1,733
belvoir_49,M9 8DR,975,"Old School Court,						Blackley,",2,3074
belvoir_163,M9 8DR,550,"Old School Court,						2 Old School Drive,",3,3074
belvoir_50,M1 2AP,375,Piccadilly,1,708
rightmove_50,M1 2AP,nan,Piccadilly,nan,708
jpknight_50,M1 2AP,370000,Piccadilly,3,708
oxlets_50,M1 2AP,nan,Piccadilly,nan,708
belvoir_51,M15 6BN,600,"Cavendish Hall,						Cavendish Street,",2,8522
belvoir_91,M15 6BN,1400,"Cavendish Hall,						Cavendish Street,",2,8522
belvoir_52,M1 2AU,1400,Chapeltown Street,4,7263
rightmove_52,M1 2AU,850,Chapeltown Street,2,7263
belvoir_53,M1 2BE,500,Jutland Street,2,1245
rightmove_53,M1 2BE,nan,Jutland Street,nan,1245
jpknight_53,M1 2BE,425000,Jutland Street,3,1245
belvoir_54,M1 2BJ,775,Chapeltown Street,2,7263
rightmove_54,M1 2BJ,575,Chapeltown Street,2,7263
