provenance,postcode,price,street_name,bedroom_number,crimerank
belvoir_40,M1 1JJ,825,Hilton Street,2,1245.0
belvoir_41,M1 1JL,860,Hilton Street,2,1245.0
belvoir_42,M1 1JN,550,Oldham Street,4,1245.0
belvoir_43,M1 1JQ,1550,Oldham Street,2,708.0
belvoir_44,M1 1JR,550,Oldham Street,2,34.0
belvoir_45,M9 8AS,950,"Hilbury Avenue,",2,2156.0
belvoir_46,M1 1LN,650,Lever Street,3,708.0
belvoir_47,M1 1LQ,950,Piccadilly,2,708.0
belvoir_48,M4 6AH,395,Lever Street,1,733.0
belvoir_49,M9 8DR,975,"Old School Court,						Blackley,",2,3074.0
belvoir_50,M1 2AP,375,Piccadilly,1,708.0
belvoir_51,M15 6BN,600,"Cavendish Hall,						Cavendish Street,",2,8522.0
belvoir_52,M1 2AU,1400,Chapeltown Street,4,7263.0
belvoir_53,M1 2BE,500,Jutland Street,2,1245.0
belvoir_54,M1 2BJ,775,Chapeltown Street,2,7263.0
belvoir_55,M13 0RH,575,Hilton Street,2,1470.0
belvoir_56,M9 7HQ,1300,"Spindletree Avenue,",4,11291.0
belvoir_57,M1 2BS,750,Piccadilly,2,708.0
belvoir_58,M1 2BU,895,Piccadilly,3,708.0
belvoir_59,M16 8AU,795,"Railton Avenue,						Whalley Range,",3,4203.0
belvoir_60,M14 5BB,750,Ducie Street,1,5904.0
belvoir_61,M13 0RH,895,"34 Navigation Street,",2,1470.0
belvoir_62,M13 0RH,775,"34 Navigation Street,",2,1470.0
belvoir_63,M1 2ED,1150,Brewer Street,4,1245.0
belvoir_64,M1 2EF,1200,Hilton Street,2,708.0
belvoir_65,M1 2EG,1100,Port Street,3,1245.0
belvoir_66,M15 6FD,925,"114 Boundry Lane,",3,6906.0
belvoir_67,M14 5RH,2700,Hilton Street,2,2823.0
belvoir_68,M1 2EJ,3500,Tariff Street,3,2892.0
belvoir_69,M13 0RH,650,Tariff Street,2,1470.0
belvoir_70,M14 5BB,775,Port Street,2,5904.0
belvoir_71,M1 2ER,1200,Brewer Street,2,2892.0
belvoir_72,M1 2FF,1100,Tariff Street,2,708.0
