provenance,postcode,price,street_name,bedroom_number,crimerank
rightmove_11,M3 4EP,1295,"Great Northern Tower 20th Floor, Central, Manchester",5,4783
onthemarket_32,M3 4EH,1600,Great Northern Tower,2,4783
onthemarket_33,M1 5BD,2250,W3 51 Whitworth Street West,3,4783
belvoir_72,M1 5BD,1100,"Whitworth Street West,",2,4783
onthemarket_34,M1 5WQ,125000,Whitworth House,1,12168
belvoir_16,M1 5WQ,125000,"W3 Building,
						Whitworth Street West,",2,12168
belvoir_157,M1 5WQ,6," More Landlords Required!!!!,",2,12168
onthemarket_35,M2 4AD,1650,Booth Street Manchester City,2,9783
onthemarket_36,M3 2BW,1395,Beetham Tower,2,9783
rightmove_93,M3 2BW,780,"Deansgate, Manchester, Greater Manchester, M3",3,9783
onthemarket_37,M3 4LY,1495,Beetham Tower,2,15184
onthemarket_39,M1 3DB,20000,The Hub,2,708
onthemarket_40,M3 4NA,2850,Parking Spaces,2,15184
onthemarket_41,M2 4WU,2200,8 King Street,2,9783
onthemarket_42,M2 4LQ,1795,8 King Street,2,9783
rightmove_52,M2 4LQ,850,"King Street, Central Manchester, Manchester, M2",2,9783
onthemarket_43,M3 3BZ,1225,Leftbank,1,9783
onthemarket_44,M8 0LA,240000,Jewel House,3,1589
onthemarket_45,M1 2WH,134950,Quantum,1,7263
onthemarket_46,M3 1PJ,1595,Tempus Tower,2,1467
onthemarket_47,M3 4LP,1400,Great Northern Tower,2,4783
rightmove_5,M3 4LP,1500,"Great Northern Tower 20th Floor, Central, Manchester",8,4783
onthemarket_48,M3 4EF,1300,Great Northern Tower,3,4783
onthemarket_49,M3 1NG,nan,Tempus Tower,nan,1467
belvoir_1,M21 0YA,180000,"Withington Road,
						Chorlton,",2,14965
belvoir_2,M16 8FS,195000,"Range Road,
						Whalley Range,",2,8079
belvoir_3,M16 0DZ,195000,"Manchester Road,
						Old Trafford,",2,5726
belvoir_4,M16 0DZ,465000,"Manchester Road,
						Old Trafford,",4,5726
belvoir_14,M16 0DZ,112000,"Manchester Road,",2,5726
belvoir_29,M16 0DZ,210000,"Manchester Road,
						Old Trafford,",2,5726
belvoir_30,M16 0DZ,210000,"Manchester Road,
						Old Trafford,",2,5726
belvoir_31,M16 0DZ,79500,"Manchester Road,
						Old Trafford,",2,5726
belvoir_5,M16 0BU,240000,"Strathmore Avenue,
						Old Trafford,",4,5726
belvoir_7,M13 0RH,380825,"Barton Road,Stretford,",3,1470
belvoir_8,M13 0RH,425000,"Cotton Square,
						Blossom Street ,",3,1470
belvoir_19,M13 0RH,395000,"Vie Building,
						Water Street,",2,1470
belvoir_55,M13 0RH,575,"Vie Building,						189 Water Street,",2,1470
belvoir_61,M13 0RH,895,"34 Navigation Street,",2,1470
belvoir_62,M13 0RH,775,"34 Navigation Street,",2,1470
belvoir_69,M13 0RH,650,"Blossom Street,",2,1470
belvoir_86,M13 0RH,950,"Avro House,						Navigation Street,",2,1470
belvoir_94,M13 0RH,775,"Vie Building,						191 Water Street,",2,1470
belvoir_121,M13 0RH,500,"Sorting Office,						7 Mirabel Street,",2,1470
belvoir_127,M13 0RH,575,"Longfield Centre,",1,1470
belvoir_147,M13 0RH,500,"Shelley Road,						Prestwich,",2,1470
belvoir_170,M13 0RH,492500,"Ainsworth Road,",5,1470
belvoir_171,M13 0RH,895,"Longford Avenue,
						Stretford,",3,1470
belvoir_172,M13 0RH,nan,"Poplar Drive,						Prestwich,",3,1470
belvoir_173,M13 0RH,175000,"Blossom Street,
						Ancoats,",2,1470
belvoir_174,M13 0RH,249950,"Quebec Building,
						Bury Street,",3,1470
belvoir_175,M13 0RH,500,"Navigation Street,",1,1470
belvoir_176,M13 0RH,170000,"Ivy Graham Close,						Newton Heath,",2,1470
belvoir_177,M13 0RH,239950,"Vie Building,
						Water Street ,",2,1470
belvoir_178,M13 0RH,nan,"Watson Street,",2,1470
belvoir_179,M13 0RH,725,"Blossom Street,
						Ancoats,",2,1470
belvoir_181,M13 0RH,950,"Durnford Street,",1,1470
belvoir_183,M13 0RH,9,"Lymouth Court,",2,1470
belvoir_184,M13 0RH,10,"Cleminson Street,",4,1470
belvoir_185,M13 0RH,1695,"Kings Close,						Prestwich,",2,1470
belvoir_186,M13 0RH,11,"Beetham Tower,						Deansgate,",2,1470
belvoir_187,M13 0RH,550,"Knowles Street,						Radcliffe,",3,1470
belvoir_188,M13 0RH,1500,"Mayfair Avenue,",2,1470
belvoir_189,M13 0RH,1275,"Westpoint,						Duke Street ,",2,1470
belvoir_190,M13 0RH,850,"The Edge,						Clowes Street,",1,1470
belvoir_191,M13 0RH,750,"Leftbank,						Spinningfields,",1,1470
belvoir_192,M13 0RH,695,"Tempus Tower,						Mirabel Street ,",1,1470
belvoir_193,M13 0RH,795,"Vie Building,						189 Water Street,",2,1470
belvoir_194,M13 0RH,495,"Vie Building,						185 Water Street,",2,1470
belvoir_195,M13 0RH,1400,"Joshua Lane,						Middleton,",4,1470
belvoir_196,M13 0RH,12,"Prestwich Park Road South,						Prestwich,",4,1470
belvoir_197,M13 0RH,860,"Orange Hill Road,",2,1470
belvoir_198,M13 0RH,500,"Flint Glass Wharf,						Ancoats,",2,1470
