provenance,postcode,price,street_name,bedroom_number,crimerank
belvoir_126,M4 4BZ,775,Brazil Street,2,12320
belvoir_37,M15 4TD,160000,Sackville Street,2,12168
belvoir_97,M15 4TD,1100,Richmond Street,2,12168
belvoir_38,M19 2LZ,995,Canal Street,3,6941
belvoir_40,M9 8QB,725,Sackville Street,3,4731
belvoir_135,M9 8QB,500,Whitworth Street,2,4731
belvoir_139,M9 8QB,500,George Street,2,4731
belvoir_140,M9 8QB,500,York Street,2,4731
belvoir_148,M9 8QB,500,Piccadilly,2,4731
belvoir_153,M9 8QB,500,Charlotte Street,2,4731
belvoir_41,M21 9JN,825,Faulkner Street,2,14724
belvoir_42,M4 1PN,860,Pine Street,2,34
belvoir_44,M1 3PW,1550,Charlotte Street,2,708
belvoir_45,M9 8AS,550,"Hilbury Avenue,",2,2156
belvoir_46,M4 4FQ,950,Faulkner Street,2,17255
belvoir_47,M18 7TP,650,Nicholas Street,3,6408
belvoir_48,M4 6AH,950,Charlotte Street,2,733
belvoir_49,M9 8DR,395,"Old School Court,						Blackley,",1,3074
belvoir_163,M9 8DR,8,"Old School Court,						2 Old School Drive,",1,3074
belvoir_51,M15 6BN,375,"Cavendish Hall,						Cavendish Street,",1,8522
belvoir_91,M15 6BN,375,"Cavendish Hall,						Cavendish Street,",1,8522
belvoir_52,M9 8QA,600,Faulkner Street,2,3074
belvoir_53,M21 0RD,1400,Charlotte Street,4,2417
belvoir_54,M8 4NA,500,Portland Street,2,176
belvoir_158,M8 4NA,6,"Sourh Lodge,						Crumpsall,",2,176
belvoir_160,M8 4NA,550,"Middleton Court,						Crumpsall,",3,176
belvoir_57,M13 9DP,1300,George Street,4,12632
belvoir_58,M4 4BW,750,George Street,2,12320
belvoir_63,M4 4BW,775,Princess Street,2,12320
belvoir_119,M4 4BW,775,Nicholas Street,2,12320
belvoir_149,M4 4BW,850,Charlotte Street,2,12320
rightmove_64,M4 4BW,900,Princess Street,2,12320
belvoir_59,M16 8AU,895,"Railton Avenue,						Whalley Range,",3,4203
belvoir_64,M21 7BD,1150,Princess Street,4,5044
belvoir_66,M15 6FD,1100,"114 Boundry Lane,",3,6906
belvoir_67,M14 5RH,925,Princess Street,3,2823
belvoir_71,M15 5AX,775,Dickinson Street,2,3277
belvoir_73,M1 6BD,1100,Oxford Street,2,2461
belvoir_74,M1 5QE,1200,Portland Street,2,209
belvoir_75,M4 6JW,950,Portland Street,2,733
belvoir_82,M4 6JW,950,Portland Street,2,733
belvoir_76,M8 4FL,725,Portland Street,3,6320
belvoir_77,M4 4AJ,950,Portland Street,2,17255
belvoir_78,M20 4NE,585,Portland Street,1,1798
belvoir_79,M8 8YE,600,Oxford Street,2,3501
belvoir_80,M15 4QU,0,Great Marlborough Street,3,12168
belvoir_165,M15 4QU,950,Oxford Street,2,12168
belvoir_81,M8 8BT,600,Whitworth Street West,2,3501
belvoir_83,M8 8BJ,600,Whitworth Street,2,2840
belvoir_84,M15 4LG,775,Whitworth Street West,1,23205
belvoir_85,M13 0NW,675,Whitworth Street,2,957
belvoir_87,M4 7AJ,950,River Street,2,3998
belvoir_88,M15 6GH,795,"St Philips Court,						Loxford Street, Hulme,",2,6906
belvoir_89,M15 5JP,750,Cambridge Street,2,3277
belvoir_142,M15 5JP,795,Cambridge Street,2,3277
belvoir_150,M15 5JP,795,Whitworth Street West,2,3277
zoopla_8,M15 5JP,125000,Whitworth Street West,2,3277
belvoir_92,M1 5EB,1400,Whitworth Street West,2,2461
belvoir_93,M15 5JR,795,Whitworth Street West,2,3277
belvoir_95,M4 4TJ,775,Whitworth Street West,2,12320
belvoir_98,M15 4TA,1100,Oxford Street,2,12168
belvoir_100,M15 5QH,1400,Great Bridgewater Street,4,4022
belvoir_101,M4 4AD,950,"Masson Place,						Hornbean Avenue ,",1,9684
belvoir_125,M4 4AD,775,Chester Street,2,9684
belvoir_102,M15 5JS,795,Cambridge Street,2,3277
belvoir_103,M40 9DH,725,Cambridge Street,3,4052
belvoir_105,M15 4QY,1150,Hulme Street,2,796
