provenance,postcode,price,street_name,bedroom_number,crimerank
belvoir_141,M8 4JW,belvoir_null_4,"Sharnbrook Walk,						Crumpsall,",1,10623
belvoir_142,M15 5JP,795,"Life Building,						34 Hulme High Street,",2,3277
belvoir_143,M40 3AN,550,"Colclough Close,						Newton Heath,",3,812
belvoir_144,M45 7HA,675,"Phillips Place,						Whitefield,",3,nan
belvoir_145,M9 8NJ,500,"Slack Road,						Blackley,",2,3074
belvoir_146,M45 7SZ,500,"George Street,						Whitefield,",2,nan
belvoir_147,M13 0RH,675,"Shelley Road,						Prestwich,",3,1470
belvoir_148,M9 8QB,500,"103 Old Market Street,						Blackley,",2,4731
belvoir_149,M4 4BW,850,"Red Building,						6 Ludgate Hill,",2,12320
belvoir_150,M15 5JP,795,"Hulme High Street,						Hulme,",2,3277
belvoir_151,M9 8QE,belvoir_null_5,"Lakeside Rise,						Blackley,",4,4731
belvoir_152,M9 6HJ,550,"Sidley Avenue,						Blackley,",3,9643
belvoir_153,M9 8QB,500,"Lakeside Rise,						Blackley,",2,4731
belvoir_154,M9 8NW,550,"Maplewood Close,						Blackley,",3,3074
belvoir_155,M9 8NW,500,"Maplewood Close,",2,3074
belvoir_156,M45 7ET,550,"Sefton Street,						Whitefield,",3,nan
belvoir_157,M1 5WQ,POA," More Landlords Required!!!!,",belvoir_null_183,12168
belvoir_158,M8 4NA,belvoir_null_6,"Sourh Lodge,						Crumpsall,",2,176
belvoir_159,M8 0AR,600,"Martingale Court,						Cheetham Hill,",2,7261
belvoir_160,M8 4NA,550,"Middleton Court,						Crumpsall,",3,176
belvoir_161,M8 5QE,belvoir_null_7,"Saddlecote Close,						Crumpsall,",4,4828
belvoir_162,M35 9WP,895,"Medlock Road,						Woodhouses,",3,nan
belvoir_163,M9 8DR,belvoir_null_8,"Old School Court,						2 Old School Drive,",1,3074
belvoir_164,M8 4LQ,550,"Mosslee Avenue,						Crumpsall,",3,nan
belvoir_165,M15 4QU,950,"Hill Quays,						Jordan Street,",2,12168
belvoir_166,M8 4HG,500,"Melton Road,",2,332
belvoir_167,M21 0SD,POA," More Landlords Required!!!!,",belvoir_null_184,6927
belvoir_168,M7 4WU,450,"Kensington Court,						Bury New Road,",1,nan
belvoir_169,M9 6HJ,550,"Sidley Avenue,						Blackley,",3,9643
belvoir_170,M13 0RH,85000,"Ainsworth Road,",2,1470
belvoir_171,M13 0RH,492500,"Longford Avenue,
						Stretford,",5,1470
belvoir_172,M13 0RH,895,"Poplar Drive,						Prestwich,",3,1470
belvoir_173,M13 0RH,POA,"Blossom Street,
						Ancoats,",3,1470
belvoir_174,M13 0RH,175000,"Quebec Building,
						Bury Street,",2,1470
belvoir_175,M13 0RH,249950,"Navigation Street,",3,1470
